Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Point Aconi Coal Generating Station Canada,Canada,Operating Fully,46.3213,-60.3299,0,Sub-critical Thermal,Please Select,"Nanticoke, Ontario, Canada",Regional Grid,,1972-00-00,Ontario Power Generation,100,Governmant of Ontario,,Ontario Power Generation,,,http://www.opg.com/power/fossil/nanticoke.asp
Point Tupper Coal Generating Station Canada,Canada,Operating Fully,45.5867,-61.3477,150,Sub-critical Thermal,Please Select,"Point Tupper, Nova Scotia, Canada",Please Select,,1969-00-00,Nova Scotia Power Inc.,,,,Ontario Power Generation,,,http://www.opg.com/power/fossil/nanticoke.asp
"Poplar River Coal Power Station, Canada",Canada,Operating Fully,49.058,-105.485,582,Sub-critical Thermal,Please Select,"Near Coronach, Saskatchewan, Canada",Regional Grid,Morrison Dam Reservoir on the east fork of the Poplar River,1981-06-20,SaskPower International,100,,,Ontario Power Generation,,,http://www.opg.com/power/fossil/nanticoke.asp
Shand Coal Power Station Canada,Canada,Operating Fully,49.088,-102.864,279,Sub-critical Thermal,Please Select,"Estevan, Saskatchewan, Canada",Regional Grid,,1992-00-00,SaskPower International,100,,,SaskPower International,,,http://www.opg.com/power/fossil/nanticoke.asp
Sheerness Coal Generating Station Canada,Canada,Operating Fully,51.4423,-111.7927,760,Sub-critical Thermal,Please Select,"Near Hanna, Alberta, Canada",Regional Grid,,1992-00-00,SaskPower International,100,,,SaskPower International,,,http://www.opg.com/power/fossil/nanticoke.asp
Sundance Coal Generating Station Canada,Canada,Operating Fully,53.5072,-114.5567,2126,Sub-critical Thermal,Please Select,"Wabamun Lake, 70 kilometres west of Edmonton, Alberta, Canada",Please Select,Lake Wabamun,1970-00-00,TransAlta,100,PPA-Merchant,TransAlta,TransAlta,,,http://www.transalta.com/facilities/plants-operation/sundance
Thunder Bay Generating Station Canada (Shutdown) ,Canada,Operating Fully,48.3593,-89.2216,0,Sub-critical Thermal,Please Select,"Thunder Bay, Ontario, Canada",Regional Grid,Lake Superior,1970-00-00,TransAlta,100,PPA-Merchant,TransAlta,TransAlta,,,http://www.transalta.com/facilities/plants-operation/sundance
Trenton Coal Generating Station Canada,Canada,Operating Fully,45.6202,-62.6498,310,Sub-critical Thermal,Please Select,"Trenton, Nova Scotia, Canada",Please Select,East River of Pictou,1969-00-00,Nova Scotia Power,,Government Provincial,,Nova Scotia Power,,,http://en.wikipedia.org/wiki/Trenton_Generating_Station
Wabamun Coal Power Plant Canada (Shutdown),Canada,Decommissioned,53.5583,-62.6498,310,Sub-critical Thermal,Please Select,"Trenton, Nova Scotia, Canada",Please Select,East River of Pictou,1969-00-00,Nova Scotia Power,,Government Provincial,,Nova Scotia Power,,,http://en.wikipedia.org/wiki/Trenton_Generating_Station
Andina Coal Power Plant Chile,Chile,Operating Fully,-23.0866,-70.4053,165,Sub-critical Thermal,Base Load,"Mejillones, II Region de Antofagasta, Chile",Regional Grid,Seawater,2010-00-00,Suez Energy Andino,52.4,,Cobra,E-CL,,,http://www.e-cl.cl/prontus_ecl/site/artic/20100427/asocfile/20100427012041/100927_1917_lve_company_presentacion__sept_2010__v2_1.pdf
Angamos Coal Power Plant Chile,Chile,Operating Fully,-23.0325,-70.3473,545,Sub-critical Thermal,Base Load,"Mejillones, II Region de Antofagasta, Chile",Regional Grid,Seawater,2011-04-00,AES Gener S.A.,71,IPP,"POSCO Engineering & Construction Co., Ltd.",AES Gener S.A.,,,http://www.aesgener.cl/Paginas/Centrales-AES.aspx
Bocamina Coal Power Plant Chile,Chile,Operating Fully,-37.0218,-73.1663,497,Sub-critical Thermal,Base Load,"Coronel, VIII Region del Bio - Bio, Chile",Regional Grid,,1970-00-00,Endesa Chile,100,Private,"Ansaldo (unit 1), Tecnimont (Unit 2)",Endesa Chile,,,http://www.endesa.cl/en/conocenos/nuestroNegocio/centrales/Pages/centralbocamina.aspx
Guacolda Coal Power Plant Chile,Chile,Operating Fully,-28.4647,-71.256,608,Sub-critical Thermal,Base Load,"Isla Guacolda, Huasco, III Region de Atacama, Chile",Regional Grid,,1995-07-00,E.E. Guacolda,100,,,E.E. Guacolda,,,http://www.centralenergia.cl/en/power-plants-chile/operational-map-chile/
Hornitos Coal Power Plant Chile,Chile,Operating Fully,-23.0867,-70.406,165,Sub-critical Thermal,Please Select,"Mejillones, II Region de Antofagasta, Chile",Regional Grid,Seawater,2011-00-00,E-CL,60,,Cobra,E-CL,,,http://www.e-cl.cl/prontus_ecl/site/artic/20100427/asocfile/20100427012041/100927_1917_lve_company_presentacion__sept_2010__v2_1.pdf
Laguna Verde CoalPower Plant Chile,Chile,Operating Fully,-33.1031,-71.677,54.7,Sub-critical Thermal,Peaking Load,"Laguna Verde, Near Valparaiso, V Region de Valparaiso, Chile",Regional Grid,,1939-00-00,AES Gener,100,,,Energia Verde S.A.,,,http://www.aesgener.cl/AESGenerWebNeo/lagunaverde.html
Mejillones Coal Power Plant Chile,Chile,Operating Fully,-23.0892,-70.4117,320,Sub-critical Thermal,Base Load,"Mejillones, II Region de Antofagasta, Chile",Regional Grid,,1996-00-00,,,,"Initec, Ansaldo",Edelnor,,,
Norgener Coal Power Plant Chile,Chile,Operating Fully,-22.095688402454,-70.210469216919,277,Sub-critical Thermal,Base Load,"Tocopilla, II Region de Antofagasta, Chile",Regional Grid,,1995-00-00,AES Gener,,,,AES Gener,,,http://www.aesgener.cl/AESGenerWebNeo/centralnorgener.html
Santa Maria Coal Power Plant Chile,Chile,Operating Fully,-37.0421,-73.1308,342,Sub-critical Thermal,Base Load,"Coronel, Region del Bío-Bío, Chile",Regional Grid,,2012-08-15,Colbun S.A.,,,"Tecnimont, Santos CMI",Colbun S.A.,,,http://www.colbun.cl/en/centrales-y-proyectos/centrales/santa-maria/
Tarapaca Power Plant Chile,Chile,Operating Fully,-20.8076,-70.1985,182,Sub-critical Thermal,Please Select,"65 km South of Iquique, I Region de Tarapaca, Chile",Regional Grid,Seawater,1998-00-00,Empresa Nacional de Electricidad S.A. (Endesa Chile),100,,,Endesa Chile (Norgener),,,http://www.endesa.cl/en/conocenos/nuestroNegocio/centrales/Pages/centraltarapaca.aspx
Tocopilla Thermal Power Plant Chile,Chile,Operating Fully,-22.0971,-70.2121,514.6,Sub-critical Thermal,Base/Intermediate Load,"Tocopilla, II Region de Antofagasta, Chile",Regional Grid,Seawater,1970-00-00,GDF Suez,52.77,,Electroandina,E-CL S.A. (Electroandina),,,http://www.e-cl.cl/prontus_ecl/site/artic/20100421/pags/20100421124025.php
Ventana Coal Power Plant Chile,Chile,Operating Fully,-32.7512,-71.4825,875,Sub-critical Thermal,Base Load,"Ventanas, Quintero, V Region de Valparaiso, Chile",Regional Grid,,1964-00-00,AES Gener SA,,,,E.E. Ventanas (AES Gener SA),,,http://www.aesgener.cl/AESGenerWebNeo/Controls/Neochannels/Neo_CH6175/deploy/Presentacion_Desayuno_Santander_final.pdf
Anhui Bengbu Power Plant China,China,Operating Fully,32.78444,117.11472,1200,Super-critical Thermal,Base Load,"Anhui, China",Regional Grid,Huaihe River,2008-12-30,China Guodian Corporation,55,,"SEPCO, Anhui Electrical Power Construction No 1 Co",China Guodian Corp,,,http://www.industcards.com/st-coal-china-anhui.htm
Anhui Chizhou Coal Power Plant China,China,Operating Fully,30.75267,117.59079,600,Sub-critical Thermal,Base Load,"Chizhou, Anhui, China",Regional Grid,Yangtze River,2005-09-11,China Huadian Corp,40,,"China Power Complete Equipment Co, Anhui Electrical Power Construction No 1 Co",Anhui Chizhou Jiuhua Power Generation Co,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Anhui
Anhui Fuyang Huaren Coal Power Plant China,China,Operating Fully,33.00444,115.845278,1200,Super-critical Thermal,Base Load,"Fuyang, Anhui, China",Regional Grid,Adjacent Canal,2006-03-00,China Resources Power,55,,Anhui Electrical Power Construction No 1 Co,Fuyang China Resources Power Co Ltd,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Anhui
Anhui Guodian Tonglin Power Plant China,China,Operating Fully,31.0705,117.9632,3200,Super and Ultra-Super Critical Thermal,Base Load,"Yongfengxiang, Anhui, China",Regional Grid,Yangtze River,2008-07-00,China Guodian Corporation,,,Anhui Electrical Power Construction No 1 Co,Guodian Tongling Power Generation Co Ltd,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Anhui
Anhui Hefei Coal Power Plant China,China,Operating Fully,31.9159,117.248,1200,Super-critical Thermal,Base Load,"Hefei, Anhui, China",Regional Grid,Adjacent reservoir,2009-01-00,,,,"Anhui Electric Power Design Inst, Anhui Electrical Power Construction No 1 Co",Anhui Hefei United Power Generation Co. Ltd,,,http://www.hewiki.com/view/216414.htm
Anhui Hefei-2 Coal Power Plant China,China,Operating Fully,31.8047,117.5075,700,Sub-critical Thermal,Please Select,"Hefei, Anhui, China",Regional Grid,,2001-06-00,,,,"Anhui Electric Power Design Inst, Anhui Electrical Power Construction No 1 Co",Anhui Hefei United Power Generation Ltd,,,http://apps.ah.gov.cn/showcontent.asp?newsid=313
Anhui Huadian Suzhou Coal Power Plant China,China,Operating Fully,33.653889,116.979167,1260,Super-critical Thermal,Base Load,"Suzhou, Anhui, China",Regional Grid,Adjacent Canal,2007-09-00,Huadian Power International Corporation Limited (CHD Group),97,,Anhui Electrical Power Construction No 1 Co,Anhui Huadian Suzhou Power Generation Co Ltd,,,http://www.hdpi.com.cn/est/TZ/GSGK/about.aspx
Anhui Huadian Wuhu Coal Power Plant China,China,Operating Fully,31.237,118.1493,1320,Super-critical Thermal,Base Load,"Sanshan, Anhui, China",Regional Grid,Yangtze River,2008-00-00,China Huadian Corporation,65,,Anhui Electrical Power Construction No 1 Co,Anhui Huadian Wuhu Power Generation Company Limited,,,http://www.hdpi.com.cn/est/TZ/GSGK/about.aspx
Anhui Huainan Tianji Coal Power Plant China,China,Operating Fully,32.7465,116.8127,1200,Super-critical Thermal,Base Load,"Tianji, Huainan, Anhui, China",Regional Grid,Huai River,2007-08-03,Huainan Mining Group Co Ltd,50,,Anhui Electrical Power Construction No 1 Co,China Power Investment Corp,,,http://www.chinabidding.com/news.jhtml?method=detail&docId=505120&channelId=277
Anhui Pingwei Coal Power Plant China,China,Operating Fully,32.68417,116.901389,2510,Super-critical Thermal,Base Load,"Anhui, China",Regional Grid,,1989-11-00,China Power International Development Limited,100,,"Ebasco, China Machine Building International",Anhui Huainan Pingwei Electric Power Generating Company Limited,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Anhui
Anqing Coal Power Plant China,China,Operating Fully,30.541,117.1717,600,Sub-critical Thermal,Base Load,"Anqing, Anhui, China",Regional Grid,Yangtze River,2005-00-00,,,,Anhui Electrical Power Construction No 1 Co,Anhui Electric Power Corp,,Export-Import Bank of Japan,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Anhui
CHD Shandong Zouxian Coal Power Plant China,China,Operating Fully,35.3255,116.9291,4540,Both Sub and Super Critical Thermal,Base Load,"Zoucheng, Shandong, China",Regional Grid,,1985-12-12,China Huadian Corporation,,,,Huadian Power International Corporation Limited,,,http://www.szpp.com.cn/   and   http://www.szpp.com.cn/files/management.htm
CLP Guangxi Fangchenggang Power Station China,China,Operating Fully,21.5914,108.3946,1260,Super-critical Thermal,Base Load,"Fangchenggang, Guangxi, China",Regional Grid,Seawater,2007-00-00,CLP,70,,,CLP Guangxi Fangchenggang Power Company Limited,,,https://www.clpgroup.com/ouroperations/assetsandservices/powergeneraton/coalfiredpowerplants/Pages/guangxifangchenggang.aspx
Changshu Coal Power Plant China,China,Operating Fully,31.75627,120.9731,1260,Sub-critical Thermal,Base Load,"NE of Changshu, Jiangsu, China",Regional Grid,Yangtze River,1993-07-00,China Power International Development Limited,50,,,Jiangsu Changshu Electric Power Generating Company Limited,,,http://www.chinapower.hk/eng/business/operation.htm  (Also See Annual Reports)
Chentangzhuang Coal Power Station China,China,Operating Fully,39.0514,117.238,835,Super-critical Thermal,Base Load,,Regional Grid,,,,,,,,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Tianjin
Dabieshan Coal Power Plant China,China,Operating Fully,31.14148,114.89224,1280,Super-critical Thermal,Base Load,"Macheng, Hubei, China",Regional Grid,,2008-05-00,China Power International Development Limited,93,,,Huanggang Dabieshan Power Generation and Generating Company Limited,,,http://www.chinapower.hk/eng/business/operation.htm  (Also See Annual Reports)
Datang Honghe Coal Power Plant China,China,Operating Fully,23.7433,103.2208,600,Sub-critical Thermal,Base Load,Kaiyuan City,Regional Grid,,2006-00-00,Datang International Power Generation Co Ltd,70,,Northeast China International Electric Power Corp,Datang International Power Generation Co Ltd,,,http://www.industcards.com/st-coal-china-yunnan.htm
Datang Huainan Luohe Power Plant China,China,Operating Fully,32.6837,117.0746,2400,Both Sub and Super Critical Thermal,Base Load,"Huainan, Anhui, China",Regional Grid,,,,,,,China Datang,,,
Datang Tianjin Panshan Coal Power Plant China,China,Operating Fully,39.9797,117.4614,2200,Both Sub and Super Critical Thermal,Base Load,"Tianjin Ji County, Tianjin, China",Please Select,,1996-00-00,CLP Guohua Power Co Ltd (Units 1 and 2),45.5,,,CSEC Guohua International Power Company Limited,,,http://www.industcards.com/st-coal-china-liaoning-tianjin.htm
Datang Tuoketuo Coal Power Station China,China,Operating Fully,40.19513,111.35553,6600,Super-critical Thermal,Base Load,"Togtoh County, Hohhot, Inner Mongolia, China",National Grid,Shui Po Beach water intake on Yellow River 12KM away,2003-06-00,Datang International Power Generation Company Ltd,60,Government SOE,,Tuoketuo Power Company,,,http://baike.baidu.com/view/1817585.html
Fengtai Coal Power Plant China,China,Operating Fully,32.758,116.65,1200,Super-critical Thermal,Base Load,,Regional Grid,,2008-00-00,"Zhejiang Provincial Energy Group Co., Ltd",50,,"East China Electric Power Design Institute, Anhui Electrical Power Construction No 2 Co, Zhejiang Electric Power Construction",Huainan Huaizhe Coal and Electricity Integration Project,,,http://www.zepcc.com/ENEWS14.html
Guadian Heze Coal Power Plant China,China,Please Select,35.2403,115.5347,1510,Sub-critical Thermal,Base Load,"Heze, Shandong, China",Regional Grid,,1990-00-00,China Guodian Corporation,,,"China Power Complete Equipment Co, SEPCO II",China Guodian Corporation,,,https://www.clpgroup.com/ouroperations/assetsandservices/powergeneraton/coalfiredpowerplants/Pages/hezepowerstation.aspx
Guodian Baoji-2 Coal Power Plant China,China,Operating Fully,34.4964,107.219722,1200,Sub-critical Thermal,Base Load,"Shaanxi, China",Please Select,Adjacent River,1998-12-00,China Guodian Corporation,,,,China Guodian Corp,,,http://www.cgdc.com.cn/en_no_use/en_index.html
Guodian Beilun Coal Power Plant China,China,Operating Fully,29.9436,121.8158,5000,Both Sub and Super Critical Thermal,Base Load,"Beilun, Ningbo, Zhejiang, China",Regional Grid,Seawater,1993-00-00,China Guodian Corporation,,Government SOE,"Zhejiang Provincial Electrical Power Construction Engineering Company, Chinese Electrical Power Project Construction Consulting Company",Guodian Zhejiang Beilun Power Generation Company Ltd,,World Bank loan,http://en.wikipedia.org/wiki/Guodian_Beilun_Power_Station  and  http://cdm.unfccc.int/filestorage/TAQW906JVZIPFSKON2UMYHR7GB1843
Guohua Dingzhou Coal Power Plant China,China,Operating Fully,38.513,114.8446,2520,Both Sub and Super Critical Thermal,Base Load,"Kaiyuan, Dingzhou, Hebei, China",Regional Grid,Air-cooled,2004-04-00,China Shenhua Energy,40.5,,China Shenhua Energy Co. Ltd. and Hebei Construction Investment Company joint venture construction,Shenhua Guohua Electric Power Corp,,,http://www.hidz.cn/news/dznews/2007-8-16/DingZhouDianChangErQiGongChengJuHangKaiGongDianLi.html
Guohua Taishan Coal Power Plant China,China,Operating Fully,21.8667,112.9228,5000,Both Sub and Super Critical Thermal,Base Load,"Tongguwan, Taishan City, Guangdong Province, China",Regional Grid,Seawater,2003-00-00,Shenhua Guohua Power,,Government SOE,Guangdong Electric Power Design Institute,Guangdong Guohua Yuedian Taishan Power Company Ltd,,,http://www.industcards.com/st-coal-china-guangdong.htm
Huadian Kunming-II Coal Power Plant China,China,Operating Fully,25.0151,102.3331,600,Sub-critical Thermal,Base Load,"Qinglongsi, Kunming, Yunnan, China",Regional Grid,,2005-12-00,China Huadian Group,,,,Huadian Yunnan Generating Co Ltd,,,http://www.industcards.com/st-coal-china-yunnan.htm
Huaibei-2 Coal Power Plant China,China,Operating Fully,33.86806,116.8589,640,Sub-critical Thermal,Base Load,"Anhui, China",Regional Grid,,2004-00-00,Anhui Electric Power,40,,,Huaibei Guoan Power Co Ltd,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Anhui
Huaneng Beijing (Gaobeidian) Cogen Power Plant China,China,Operating Fully,39.886111,116.532,845,Sub-critical Thermal,Base Load,"Beijing, China",Regional Grid,,1998-01-00,Huaneng Power International Inc (Units 1 and 2),41,,,Huaneng Beijing Co-generation Limited Liability Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Changxing Coal Power Plant China,China,Operating Fully,30.99194,119.929722,260,Sub-critical Thermal,Base Load,"Changxing, Zhejiang, China",Regional Grid,Adjacent Canal,1992-01-00,Huaneng Power International Inc,100,,,Huaneng Changxing Power Generating Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Chaohu Coal Power Plant China,China,Operating Fully,31.652,117.8229,1200,Super-critical Thermal,Base Load,"Chaohu, Jucao District, Anhui, China",Regional Grid,Lake Chao,2008-00-00,,,,"Anhui Electrical Power Construction No 2 Co, China Construction Second Engineering Bureau",Huaneng Power International Inc,,,http://www.hpi.com.cn/sites/english/pages/default.aspx
Huaneng Dalian Coal Power Plant China,China,Operating Fully,39.01472,121.724444,1400,Sub-critical Thermal,Base Load,"Bohai Bay, Dalian, Liaoning, China",Regional Grid,Seawater,1988-09-00,Huaneng Power International Inc,100,,,Huaneng Dalian Power Generation Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Dandong Coal Power Plant China,China,Operating Fully,39.83833,124.14583,700,Sub-critical Thermal,Base Load,"Donggang, Liaoning, China",Regional Grid,Seawater,1999-01-00,Huaneng Power International Inc,100,,,Huaneng Dandong Power Generation Co. Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Dezhou Coal Power Plant China,China,Operating Fully,37.4519,116.243,2520,Sub-critical Thermal,Base Load,"Dezhou City, Shangdong, China",Regional Grid,,1992-00-00,Huaneng Power International Inc,,Government SOE,"Shandong Power Engineering Construction Company,",Shandong Huaneng Power Development Company Ltd,,"The Export-Import Bank USA,",http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)
Huaneng Fuzhou Coal Power Plant China,China,Operating Fully,25.99083,119.4816,2600,Both Sub and Super Critical Thermal,Base Load,"SE of Fuzhou, Fujian, China",Regional Grid,Min River,1988-09-00,Huaneng Power International Inc,100,,"STI - Studio Tecnico di Ingegneria, Fujian Provincial No 1 Power Construction Co",Huaneng Fuzhou Power Generation Co. Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Haimen Coal Power Plant China,China,Operating Fully,23.1899,116.6548,2072,Ultra-Super-Critical Thermal,Base Load,"Haimen, Guangdong, China",Regional Grid,Seawater,2009-07-00,Huaneng Power International Inc,100,,,"Huaneng Haimen Power Generation Co., Ltd",,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Huaiyin Coal Power Plant China,China,Operating Fully,33.59528,118.9622,1320,Sub-critical Thermal,Base Load,"Huaiyin, Jiangsu, China",Regional Grid,Huai River,1993-11-00,Huaneng Power International Inc,63.64,,China Power Complete Equipment Co Ltd,Jiangsu Huaneng Huaiyin Power Generation Company Limited,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Jianggangshan Coal Power Plant China,China,Operating Fully,27.04666,115.01944,1920,Both Sub and Super Critical Thermal,Base Load,"Jian, Jiangxi, China",Regional Grid,Ganjiang River,2000-12-00,Huaneng Power International Inc,100,,,Huaneng Jinggangshan Power Generating Company Limited,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Jinling Coal Power Plant China,China,Operating Fully,32.17136,119.01888,2060,Ultra-Super-Critical Thermal,Base Load,"Jinling, Nanjing, Jiangsu, China",Regional Grid,Yangtze River,2009-12-23,Huaneng Power International Inc,60,,,"Huaneng Nanjing Jinling Power Co., Ltd.",,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Luohuang Coal Power Plant China,China,Operating Fully,29.34722,106.434167,2640,Both Sub and Super Critical Thermal,Base Load,"Luohuangzhen, Chongquin, China",Please Select,Jialing River,1991-09-00,Huaneng Power International Inc,60,,,Huaneng Chongqing Luohuang Power Generation Limited Liability Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports
Huaneng Pingliang Coal Power Plant China,China,Operating Fully,35.5017,106.7861,2475,Both Sub and Super Critical Thermal,Base Load,"Pingliang, Gansu, China",Regional Grid,Adjacent River,2000-09-06,Huaneng Power International Inc,65,,Northwest Electric Power Design Institute,Huaneng Pingliang Power Generation Co. Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Qinbei Coal Power Plant China,China,Operating Fully,35.16972,112.71556,4400,Super and Ultra-Super Critical Thermal,Base Load,"Qinbei, Jiyuan, Henan, China",Regional Grid,,2004-00-00,Huaneng Power International Inc,60,,Henan Construction Group II,Henan Huaneng Qinbei Power Limited Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Rizhao Coal Power Plant China,China,Operating Fully,35.3449,119.5117,2060,Both Sub and Super Critical Thermal,Base Load,"Rizhao, Shandong, China",Regional Grid,Seawater,2000-04-00,Huaneng Power International Inc (Units 1 and 2),44,,"Studio Tecnico di Ingegneria, Shandong Electric Power Engineering Consulting Institute SEPCO III",Shandong Rizhao Power Company Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Shandong Weihai Power Plant China,China,Operating Fully,37.4477,122.2051,2000,Both Sub and Super Critical Thermal,Base Load,"Bohai Gulf, Weihei, Shandong, China",Regional Grid,Seawater,1998-03-00,Huaneng Power International Inc,60,,"Shandong Electric Power Engineering Consulting, China Power Complete Equipment Co Ltd, SEPCO No 1",Huaneng Shandong Power Co Ltd,,,http://www.reuters.com/finance/stocks/companyProfile?symbol=HNP
Huaneng Shang'an Coal Power Plant China,China,Please Select,38.05722,114.19583,2620,Both Sub and Super Critical Thermal,Base Load,"Hebei, China",Regional Grid,,1990-08-00,Huaneng Power International Inc,100,,,"Huaneng Shangan Power Generation Co., Ltd",,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)
