Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Huaneng Shanghai Shidongkou I Coal Power Plant China,China,Operating Fully,31.463,121.4074,1300,Sub-critical Thermal,Base Load,"Shanghai, China",Regional Grid,Yangtze River,1988-02-00,Huaneng Power International Inc,100,Government SOE,Shanghai Power Erection Co No 2,Huaneng Shidongkou Power Generation Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)
Huaneng Shanghai Shidongkou II Coal Power Plant China,China,Operating Fully,31.4658,121.4021,2400,Super-critical Thermal,Base Load,"Shanghai, China",Regional Grid,Yangtze River,1992-01-00,Huaneng Power International Inc,100,Government SOE,"S&L, Shanghai Electric Power Construction Co Ltd",Huaneng Shidongkou Power Generation Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)
Huaneng Shantou Coal Power Plant China,China,Operating Fully,23.32556,116.736111,1200,Both Sub and Super Critical Thermal,Base Load,"Shantou, Guangdong, China",Regional Grid,Seawater,1997-01-01,Huaneng Power International Inc,100,,"Guangdong Electric Power Design Institute, Northwest Electric Power Design Institute",Huaneng Shantou Power Plant Power International Corporation Limited,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Taicang Coal Power Plant China,China,Operating Fully,31.6568,121.1798,1900,Both Sub and Super Critical Thermal,Base Load,"Taicang, Jiangsu Province, China",Regional Grid,Yangtze River,1999-12-00,Huaneng Power International Inc,75,,,Huaneng Taicang Power Generation Co. Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Xindian Coal Power Plant China,China,Operating Fully,36.7825,118.23583,600,Sub-critical Thermal,Base Load,"Linzi District, Zibo City, Qilu Chemical Industry Park, Shandong, China",Regional Grid,,,Huaneng Power International Inc,95,,,Huaneng Xindian Power Generation Co. Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Yangluo Coal Power Plant China,China,Operating Fully,30.6939,114.5431,2400,Sub-critical Thermal,Base Load,"Hubei, China",Regional Grid,,,Huaneng Power International Inc,,Government SOE,,Huaneng Yangluo Power Generation LLC,,,http://en.wikipedia.org/wiki/List_of_power_stations_in_China
Huaneng Yingkou Coal Power Plant China,China,Operating Fully,40.3047,122.1047,1840,Super-critical Thermal,Base Load,"Bayuquan, Yingkou, Liaoning, China",Regional Grid,Seawater,1996-01-00,Huaneng Power International Inc,100,Government SOE,Northeast Electric Power Design Institute,Huaneng Yingkou Power Generation LLC,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)
Huaneng Yingkou Cogen Power Plant China,China,Operating Fully,40.30365,122.10239,660,Sub-critical Thermal,Base Load,"Bayuquan, Yingkou, Liaoning, China",Regional Grid,Seawater,2009-12-00,Huaneng Power International Inc,100,,,Huaneng Yingkou Power Generation LLC,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huaneng Yueyang Coal Power Plant China,China,Operating Fully,29.4464,113.1586,2525,Both Sub and Super Critical Thermal,Base Load,"Yueyang City, Hunan Province",Regional Grid,Yangtze River and Dongting Lake,1991-09-00,Huaneng Power International Inc,55,Government SOE,,Huaneng Hunan Power Generation Company,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)   http://www.hpi.com.cn/Pages/Subsidiarydetail.aspx?SubID=c0fa8c96-776a-45f0-a46c-39eeaf22a20d
Huaneng Yuhuan Coal Power Plant China,China,Operating Fully,28.1158,121.1378,4200,Ultra-Super-Critical Thermal,Base Load,"Chenyuzhen, Zhejiang, China",National Grid,Seawater,2006-11-00,Huaneng Power International Inc,100,Government SOE,"East China Electrical Power Design Institute, Zhejiang Power Design Institute, Tianjin Electric Power Construction",Huaneng Power International Inc,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (See annual reports)
Huaneng Yushe Coal Power Plant China,China,Operating Fully,36.97833,112.95417,800,Sub-critical Thermal,Base Load,"Yushe, Shanxi, China",Regional Grid,,1994-08-00,Huaneng Power International Inc,60,,,Huaneng Yushe Power Generation Co. Ltd.,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports)
Huanghua (Cangdong) Coal Power Plant China,China,Operating Fully,38.3102,117.8779,2520,Both Sub and Super Critical Thermal,Base Load,"Cangzhou, Huanghua, Hebei, China",Regional Grid,Seawater,2006-06-28,China Shenhua Energy,51,,,CSEC Guohua International Power Company Limited,,,http://www.csec.com/htmlen/investor/page_3_7_1.html   (Annual Reports)
Hueneng Diandong Coal Power Plant China,China,Operating Fully,25.1997,104.6825,2400,Super-critical Thermal,Base Load,"Diandong, Yunnan, China",Regional Grid,,2006-02-00,Huaneng Power International Inc (Acquired in Dec 2009),100,,"Shandong Electric Power Design Institute, SEPCO 2, Yunnan Thermal Power Construction Co",Huaneng Power International Inc,,,http://www.hpi.com.cn/sites/english/reportYH/publish.aspx  (annual reports)
Hueneng Yuwang Coal Power Plant China,China,Operating Fully,25.1016,104.617,1200,Super-critical Thermal,Base Load,"Yunnan, China",Regional Grid,,2009-07-00,Huaneng Power International Inc,100,,,Huaneng Power International Inc,,,http://www.hpi.com.cn/sites/english/Pages/default.aspx  (see annual reports in english under H share and 20F reports)
Jiangsu Changshu Coal Power Plant China,China,Operating Fully,31.756086,120.97861,1950,Super-critical Thermal,Base Load,"NE of Changshu, Jiangsu, China",Regional Grid,,2005-03-00,China Resources Power Holdings Co Ltd,100,,,China Resources Power Holdings Co Ltd,,,http://www.industcards.com/st-coal-china-jiangsu.htm
Jinjie Coal Power Plant China,China,Operating Fully,38.7363,110.1668,2400,Sub-critical Thermal,Base Load,"West of Shenmu, Saanxi, China",Regional Grid,,2006-09-30,China Shenhua Energy,70,,,Shaanxi Guohua Jinjie Energy Co. Ltd,,China Development Bank provided Rmb2776 million,http://www.csec.com/htmlen/investor/page_3_7_1.html   (Annual Reports)
Junliangcheng Coal Power Plant China,China,Operating Fully,39.0536,117.4114,1500,Sub-critical Thermal,Base Load,"Xiaodongzhuang, Tianjin, China",Regional Grid,,,,,,,,,,http://en.wikipedia.org/wiki/List_of_major_power_stations_in_Tianjin
Laicheng Coal Power Plant China,China,Operating Fully,36.2554,117.6726,1200,Sub-critical Thermal,Base Load,"Laicheng, Shandong, China",Regional Grid,,2000-09-27,China Huadian Corporation,47.21,,"Shandong Electric Power Engineering Consulting Institute, SEPCO III",Huadian Power International Corporation Limited,,,http://eng.chd.com.cn/html/unit/sdlc/index.htm
Maanshan Datang Coal Power Plant China,China,Operating Fully,31.53472,118.41391,1320,Super-critical Thermal,Base Load,"Huashan District, Maanshan Prefecture, Anhui Province, China",Regional Grid,Yangtze River,2012-00-00,China Datang Corporation,,,,Datang International Power Generation Co Ltd,,,http://www.industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32974-maanshan-datang-coal-power-plant
Maanshan Masteel Coal Power Plant China,China,Operating Fully,31.73279,118.48921,525,Sub-critical Thermal,Cogeneration,"Maanshan City, Maanshan Prefecture, Anhui Province, China",Captive and Grid Connected,Yangtze River,,Magang (Group) Holding Company Ltd,,,,Maanshan Iron & Steel Company Limited (MASTEEL),,,http://www.industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32975-maanshan-masteel-coal-power-plant
Maanshan Wenergy Coal Power Plant,China,Operating Fully,31.75045,118.47972,1320,Sub-critical Thermal,Base Load,"Anhui, china",Regional Grid,Yangtze River,1995-00-00,Anhui Province Energy Group Co Ltd (Wenergy Group),,,,Anhui Tongling Power Generation Co Ltd,,,http://www.industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32976-maanshan-wenergy-coal-power-plant
Ninghai Coal Power Plant China,China,Operating Fully,29.4816,121.5114,4400,Super-critical Thermal,Base Load,"Ninghai town, Ningbo City, Zhejiang, China",Regional Grid,Seawater. Largest seawater natural draft cooling towers,2005-00-00,China Shenhua Energy,60,,"Chengdu Southwest Electric Power Design Institute, Kuanghai Thermal Power Construction Co, Tianjin Electric Power Construction",Guohua Zheneng power generation company (Shenhua Guohua Electric Power Corp),,,http://www.csec.com/htmlen/investor/page_3_7_1.html   (Annual Reports)
Qujing Coal Power Plant China,China,Operating Fully,25.6618,104.0662,1200,Sub-critical Thermal,Base Load,"Qujing, Yunnan, China",Regional Grid,Adjacent reservoir,1998-00-00,SDIC Qujing Power Generation Co. Ltd,55.4,,,SDIC Qujing Power Generation Co. Ltd,,,http://www.sdic.com.cn/en/group/A0205index_1.htm    http://www.sdic.com.cn/en/ourbusiness/industry/Power/A02020101index_1.htm
Sanhe Coal Power Plant China,China,Operating Fully,39.9533,116.848,1300,Sub-critical Thermal,Base Load,"Sanhe, Hebei, China",National Grid,,2000-00-00,China Shenhua Energy,38.5,,,CSEC Guohua International Power Company Limited,,,http://www.csec.com/htmlen/investor/page_3_7_1.html   (Annual Reports)
Shandong Weifang Coal Power Plant China,China,Operating Fully,36.66561,119.26478,2000,Both Sub and Super Critical Thermal,Base Load,"12.5 km SE of Weifang, Shandong, China",Regional Grid,,1993-00-00,Huadian Power International Corporation Limited (CHD Group),45,,SHANDONG ELECTRIC POWER ENGINEERING CONSULTINShandong Electric Power construction Company (SEPCO),China Huadian Group Corp,,,http://www.industcards.com/st-coal-china-shandong.htm
Shanghai Caojing Coal Power Plant China,China,Operating Fully,30.7615,121.4,2000,Ultra-Super-Critical Thermal,Base Load,"Shanghai, China",Regional Grid,Seawater,2010-01-12,China Power Investment Corporation,100,,"China Power Investment Engineering Dept, Shanghai Power Construction Engineering Co Ltd",Shanghai Electric Power Co Ltd,,,http://www.scip.com.cn/en/2.asp?id=221
Shanghai Waigaoqiao Coal Power Station China,China,Operating Fully,31.3558,121.5983,5000,Both Sub and Super Critical Thermal,Base Load,"Shanghai, China",Regional Grid,Seawater,1995-00-00,China Power Investment Corporation,,Government SOE,": East China Electric Power Design Institute, Shanghai Power Erection No 2 Co, Black and Veatch",Shenergy Company Ltd,,,http://eng.cpicorp.com.cn/
Shentou CPI Coal Power Plant China,China,Operating Fully,39.5508,112.4912,1320,Sub-critical Thermal,Base Load,"Shuocheng, Shanxi, China",Regional Grid,,1984-00-00,China Power International Development Limited  (acquired in July 2005),100,,,Shanxi Shentou Electric Power Company Limited,,,http://www.chinapower.hk/eng/business/operation.htm  (Also See Annual Reports)
Shentou Datang Coal Power Plant China,China,Operating Fully,39.3659,112.53327,2000,Super-critical Thermal,Base Load,"Shentou, Shuocheng, Shuozhou, Shanxi Province, China",Regional Grid,,1992-07-00,Shanxi Datang International Power Generation Co Ltd,,,,Shanxi Datang International Power Generation Co Ltd,,,http://www.csec.com/
Suizhong Coal Power Plant China,China,Operating Fully,40.079,120.0086,3600,Super-critical Thermal,Base Load,"Suizhong, Huludao, Liaoning, China",Regional Grid,Seawater,2000-00-00,China Shenhua Energy,50,,"Teploelektroproekt Institute, No 3 Engineering Construction Co of Liaoning Electric Power Corp",CSEC Guohua International Power Company Limited,,,http://www.csec.com/htmlen/investor/page_3_7_1.html   (Annual Reports)
Tianjin Beijiang Coal Power Plant China,China,Operating Fully,39.2194,117.93,2000,Ultra-Super-Critical Thermal,Base Load,"Fuzhuang Fentuo, Tianjing, China",Regional Grid,Seawater,2009-11-12,State Development and Industrial Corporation (SDIC),,,"North China Power Engineering, Tianjin Electric Power Construction Co",,,,http://www.industcards.com/st-coal-china-liaoning-tianjin.htm
Tianjin Dagang CHP Coal Power Plant China,China,Operating Fully,38.7753,117.4947,1314,Cogeneration Power and Heat Steam Turbine,Base Load,"DaGang, Tianjin, China",Regional Grid,,,,,,,North China Power Group Company,,,http://www.mhi.co.jp/en/news/sec1/e_0964.html
Xuancheng Coal Power Plant China,China,Operating Fully,30.86956,118.865,600,Super-critical Thermal,Base Load,"Xuancheng, Anhui, China",Regional Grid,,2009-00-00,,,,Anhui Electrical Power Construction No 1 Co,SDIC Huajing Power Holdings Co Ltd,,,http://www.industcards.com/st-coal-china-anhui.htm
Xunjiansi III Coal Power Plant China,China,Operating Fully,23.9574,103.1891,600,Sub-critical Thermal,Base Load,"Xunjiansi, Yunnan, China",Regional Grid,,2012-00-00,China Huadian Group,65,,Yunnan Electric Power Design Institute,Huadian Yunnan Generating Co Ltd,,,http://www.industcards.com/st-coal-china-yunnan.htm
Yangzonghai Coal Power Plant China,China,Operating Fully,24.9625,103.028,1000,Sub-critical Thermal,Base Load,"Yangzonghai, Yunnan, China",Regional Grid,Yangzonghai Lake,1997-00-00,China Guodian Group Corp,51,,,Guodian Yangzonghai Power Company,,,http://www.industcards.com/st-coal-china-yunnan.htm
Yaomeng Coal Power Plant China,China,Operating Fully,33.73722,113.23972,2470,Both Sub and Super Critical Thermal,Base Load,"Pingdingshan, Henan, China",Regional Grid,Adjacent Reservoir,1985-12-00,China Power International Development Limited,100,,,Pingdingshan Yaomeng Power Generating Company Limited,,,http://www.chinapower.hk/eng/business/operation.htm  (Also See Annual Reports)
Zhejiang Jiaxing Coal Power Plant China,China,Operating Fully,30.628,121.145,5000,Both Sub and Super Critical Thermal,Base Load,"Jiaxin, Zhejiang, China",Regional Grid,Seawater,1995-07-00,Zhejiang Energy Group Co Ltd,,State Owned Entreprise,"China Power Complete Equipment, Southeast China Electric Power Design Inst, Zhejiang Electric Power Design Inst, East China Investigation and Design Inst, Zhejiang Electric Power Construction Co, Zhejiang Power Co",Zhejiang Jiaxing Power Generation Co Ltd,,,http://en.wikipedia.org/wiki/List_of_power_stations_in_China
TermoPaipa Coal Power Plant Colombia,Colombia,Operating Fully,5.7682,-73.1472,346,Sub-critical Thermal,Please Select,"Paipa, Boyaca, Colombia",National Grid,adjacent reservoir,1963-00-00,ContourGlobal Latam (unit 4),49,Private,"Initec Energia, ABB, Steag (unit 4)","Gensa (units 1-3), Sochagota Power Company (ContourGlobal and Steag)",,,http://www.ebsa.com.co/
Termoguajira Coal Power Plant Colombia,Colombia,Operating Fully,11.2617,-73.4155,330,Sub-critical Thermal,Peaking Load and Backup,"W of Dibulla, La Guajira, Colombia",National Grid,Seawater,1983-00-00,Gecelca - Generadora y Comercializadora de Energia del Caribe (GECELCA),,Government,"MHI, Asesorías & Construcciones, SADE SA",Gecelca - Generadora y Comercializadora de Energia del Caribe (GECELCA),,,http://www.gecelca.com.co/index.php?option=com_content&view=article&id=93&Itemid=90&lang=en
Termotasajero Coal Power Plant Colombia,Colombia,Operating Fully,7.8473,-72.6328,163,Sub-critical Thermal,Please Select,"30km SW of Cucuta, Norte de Santander, Colombia",National Grid,,1984-12-17,Colombian society COLGENER SA,,,Termotasajero SA (Colombian Institute of Electric Power-ICEL),,,,http://www.termotasajero.com.co/
Zipa Coal Power Plant Colombia,Colombia,Operating Fully,4.9666,-73.9166,223,Sub-critical Thermal,Please Select,"40km North of Bogota, Cundinamarca, Colombia",Regional Grid,,1964-00-00,Endesa Chile,,,,Endesa Chile,,,http://www.endesa.cl/Endesa_Chile/action.asp?id=11410&lang=en
Plomin Thermal Power Plant Croatia,Croatia,Operating Fully,45.137,14.164,330,Sub-critical Thermal,Please Select,"Plomin luka 51, Istarska, Croatia",National Grid,Seawater,1969-00-00,Hrvatska elektroprivreda (HEP) d.d.,50,Joint Public Private,,TE Plomin d.o.o.,,,http://www.hep.hr/proizvodnja/en/basicdata/thermal/plomin.aspx
Chvaletice Coal Power Plant Czech,Czech Republic,Operating Fully,50.0275,15.4533,800,Sub-critical Thermal,Base Load,"East of Chvaletice, Pardubicky. Czech Republic",National Grid,Elbe River via Elbe Waterway,1977-00-00,Elektrarna Chvaletice a. s.,100,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/chvaletice.html
Detmarovice Coal Power Plant Czech,Czech Republic,Operating Fully,49.9058,18.4681,800,Cogeneration Power and Heat Steam Turbine,Base Load,"Detmarovice, Moravskoslezsky, Czech Republic",Regional Grid,Olse River,1975-05-00,CEZ a. s.,100,,"Energoprojekt Prague, construction by VOKD Ostrava, and the technological equipment by Skoda Pilsen",CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/detmarovice.html
Hodonin Coal CHP Power Plant Czech,Czech Republic,Operating Fully,48.8474,17.1197,95,Cogeneration Power and Heat Steam Turbine,Please Select,"Hodonin, Jihomoravsky. Czech Republic",National Grid,Morava River,1954-00-00,CEZ a. s.,,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/hodonin.html
Kladno CHP Thermal Power Plant Czech,Czech Republic,Operating Fully,50.15318,14.12898,516,Sub-critical Thermal,Base Load,"Kladno, Stredocesky, Czech Republic",National Grid,,2000-00-00,Alpiq Energy AG (acquired in 2002),100,Private,,Alpiq Generation (CZ) s.r.o.,,,http://www.alpiq.com/what-we-offer/our-assets/thermal-power-plants/fossil-fuel-power-plants/kladno-thermal-power-station.jsp
Komorany CHP Cioal Power Plant Czech,Czech Republic,Operating Fully,50.522,13.5718,237,Sub-critical Thermal,Base Load,"Teplarenska 2, Most-Komorany, Ustecky, Czech",Please Select,,1951-00-00,United Energy,,,,United Energy,,,http://www.ue.cz/index.php?option=com_content&view=article&id=16&Itemid=103
Ledvice Coal Power Plant Czech,Czech Republic,Operating Fully,50.5766,13.7794,330,Sub-critical Thermal,Base Load,"Ledvice, Ustecky, Czech Republic",National Grid,Elbe River with Vsechlapy Dam as a backup,1966-00-00,CEZ a. s.,100,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/ledvice.html
Melnik I Coal Power Plants Czech,Czech Republic,Operating Fully,50.4146,14.4138,352,Cogeneration Power and Heat Steam Turbine,Base Load,"Homi Pocaply, Stredocesky, Czech Repulic",National Grid,Elbe River,1960-00-00,Energotrans a.s.  (detached from CEZ since October 1993),100,Joint Stock Company,,ENERGOTRANS a.s.,,,http://www.ptas.cz/en_energotrans/
Melnik II and III Coal Power Plants Czech,Czech Republic,Operating Fully,50.4119,14.4188,720,Sub-critical Thermal,Base Load,"Homi Pocaply, Stredocesky, Czech Repulic",National Grid,Elbe River (common channel for all three plants),1971-11-00,CEZ a. s.,100,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/melnik.html
Opatovice CHP Coal Power Plant Czech,Czech Republic,Operating Fully,50.1264,15.7922,363,Sub-critical Thermal,Base Load,"South of Opatovice, Pardubice, Czech Republic",National Grid,,1958-00-00,International Power plc (acquired in 1997),100,Joint Stock Company,,Elektrarny Opatovice a.s.,,,http://www.eop.cz/en/ostatni/exk_strojovna.php
Pocerady Coal Power Plant Czech,Czech Republic,Operating Fully,50.4268,13.6788,1000,Sub-critical Thermal,Base Load,"Pocerady, Ustecky, Czech Republic",National Grid,Ohre River,1970-00-00,CEZ a. s.,,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/pocerady.html
Porici Coal Power Plant Czech,Czech Republic,Operating Fully,50.5727,15.9634,165,Sub-critical Thermal,Please Select,"East of Trutnov, Kralovehradecky, Czech Republic",National Grid,,1957-00-00,,,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/porici.html
Prunerov I and II CHP Coal Power Plant Czeech,Czech Republic,Operating Fully,50.418,13.259,1490,Sub-critical Thermal,Base Load,"western edge of the North-Bohemian brown coal basin near the town of Chomutov, Ustecky, Czech",National Grid,Ohre River,1967-00-00,CEZ Group Czech Republic (acquired in 1993),,,,CEZ Group,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/prunerov.html
Tisova CHP Coal Power Plant Czech,Czech Republic,Operating Fully,50.1496,12.6108,295.8,Sub-critical Thermal,Base Load,"Tisova, Karlovarsky, Czech",National Grid,,1958-12-00,CEZ a. s.,100,Government,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/tisova.html
Tusimice Coal Power Plant Czech,Czech Republic,Operating Fully,50.38247,13.340213,800,Cogeneration Power and Heat Steam Turbine,Base Load,"Tusimice, Ustecky, Czech Republic",National Grid,Ohre River,1974-00-00,CEZ a. s.,100,,,CEZ a. s.,,,http://www.cez.cz/en/power-plants-and-environment/coal-fired-power-plants/cr/tusimice.html
Zlin Coal Power Plant Czech Republich,Czech Republic,Operating Fully,49.2269,17.65456,69,Sub-critical Thermal,Cogeneration,"Zlin, Moravskoslezsky, Czech Republic",National Grid,,1996-00-00,Alpiq,100,,,Alpiq Generation,,,http://www.alpiq.com/what-we-offer/our-assets/thermal-power-plants/coal-fired-power-plants/zln-thermal-power-station.jsp
Amager Coal CHP Power Plant Denmark,Denmark,Operating Fully,55.686,12.627,438,Sub-critical Thermal,Base Load,"Copenhagen, Denmark",National Grid,Seawater,1971-00-00,Vattenfall,100,,,Vattenfall,,,http://www.vattenfall.dk/da/amagervarket.htm
Asnaes Coal CHP Power Plant Denmark,Denmark,Operating Fully,55.6614,11.0828,790,Sub-critical Thermal,Base Load,"Kalundborg, Zealand, Denmark",Please Select,Seawater,1959-00-00,DONG Energy,100,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/asnaes_power_station.aspx
Avedore Coal CHP Power Plant Denmark,Denmark,Operating Fully,55.6027,12.4792,825,Both Sub and Super Critical Thermal,Base Load,"Copenhagen, Denmark",Regional Grid,,1990-00-00,DONG Energy,,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/avedoere_power_station.aspx
Ensted Coal CHP Power Plant Denmark,Denmark,Operating Fully,55.0206,9.4419,626,Sub-critical Thermal,Base Load,"Aabenraa, South Denmark, Denmark",National Grid,Seawater,1979-00-00,DONG Energy,,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/ensted_power_station.aspx
Esbjerb Coal CHP Power Plant Denmark,Denmark,Operating Fully,55.4552,8.4544,378,Super-critical Thermal,Base Load,"Esbjerg, South Denmark, Denmark",Please Select,Seawater,1992-00-00,DONG Energy,,,,DONG Energy,,,http://www.dongenergy.com/en/business%20activities/generation/activities/central_power_stations/pages/esbjerg_power_station.aspx
Nordjylland Coal CHP Power Station Denmark,Denmark,Operating Fully,57.0736,10.0416,716,Both Sub and Super Critical Thermal,Base Load,"Aalborg, North Jutland, Denmark",National Grid,Seawater,1977-00-00,Aalborg EnergiKoncern,,Public,,Aalborg EnergiKoncern,,,http://www.vattenfall.dk/da/file/NordjyllandUK080121_7841588.pdf
